['https://torahcdn.net/tdn/nirc/18068988.mp3']	"Shiur Title: פורים ומגילה  Presenter(s): [""Moreinu V'Rabeinu HaRav Yaakov Yitzchok Ruderman""]"	"[""Moreinu V'Rabeinu HaRav Yaakov Yitzchok Ruderman""]"
['https://torahcdn.net/tdn/nirc/18069345.mp3']	"Shiur Title: פורים ואדר, יבמות יג ע''ב לא תתגודדו  Presenter(s): [""Moreinu V'Rabeinu HaRav Yaakov Yitzchok Ruderman""]"	"[""Moreinu V'Rabeinu HaRav Yaakov Yitzchok Ruderman""]"
['https://torahcdn.net/tdn/nirc/18072027.mp3']	"Shiur Title: ב""ק צד ע''ב שינוי קונה  Presenter(s): ['Moreinu HaRav Yaakov Moshe Kulefsky']"	['Moreinu HaRav Yaakov Moshe Kulefsky']
['https://torahcdn.net/tdn/nirc/18076351.mp3']	Shiur Title: הצפרדעים וקידוש השם  Presenter(s): ['Moreinu HaRav Aharon Feldman']	['Moreinu HaRav Aharon Feldman']
['https://torahcdn.net/tdn/nirc/18078823.mp3']	Shiur Title: פ' יתרו: יראה על הפנים זו קדושה  Presenter(s): ['Moreinu HaRav Aharon Feldman']	['Moreinu HaRav Aharon Feldman']
['https://torahcdn.net/tdn/nirc/18080057.mp3']	"Shiur Title: דברי התעררות ימים נוראים: להתפלל עבור אחרים (ירחי כלה לק""ק שומרי אמונה ושערי 
ציון)  Presenter(s): ['HaRav Shraga Neuberger']"	['HaRav Shraga Neuberger']
['https://torahcdn.net/tdn/nirc/18076541.mp3']	Shiur Title: הדרכה לחתנים (ג')  Presenter(s): ['HaRav Shraga Neuberger']	['HaRav Shraga Neuberger']
['https://torahcdn.net/tdn/nirc/18070012.mp3']	"Shiur Title: מנחת חינוך: קרבן פסח  Presenter(s): [""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"	"[""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"
['https://torahcdn.net/tdn/nirc/18070017.mp3']	"Shiur Title: ספר המצות: אכילת קרבן פסח ומרור  Presenter(s): [""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"	"[""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"
['https://torahcdn.net/tdn/nirc/18077617.mp3']	"Shiur Title: הדרכה לחתנים:
 לעבוד על ההֶבדֵלים (א)  Presenter(s): ['HaRav Shraga Neuberger']"	['HaRav Shraga Neuberger']
['https://torahcdn.net/tdn/nirc/18077618.mp3']	"Shiur Title: הדרכה לחתנים:
 לעבוד על ההֶבדֵלים (ב)  Presenter(s): ['HaRav Shraga Neuberger']"	['HaRav Shraga Neuberger']
['https://torahcdn.net/tdn/nirc/18075199.mp3']	"Shiur Title: ראש השנה תשס""ה  Presenter(s): ['HaRav Nochum Meir Lansky']"	['HaRav Nochum Meir Lansky']
['https://torahcdn.net/tdn/nirc/18078233.mp3']	Shiur Title: מסיבת חנוכה  Presenter(s): ['HaRav Nochum Meir Lansky']	['HaRav Nochum Meir Lansky']
['https://torahcdn.net/tdn/nirc/18081571.mp3']	"Shiur Title: פ' חיי שרה פרק כ""ג:א', ט'-י', י""ז-י""ט, פרק כ""ד:ג'-ו', ס""ו
מיתת שרה, שני חיי שרה, קניית מערת המכפילה  Presenter(s): [""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"	"[""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"
['https://torahcdn.net/tdn/nirc/18069616.mp3']	Shiur Title: הקדמה לתפילה  Presenter(s): ['HaRav Nochum Meir Lansky']	['HaRav Nochum Meir Lansky']
['https://torahcdn.net/tdn/nirc/18069618.mp3']	Shiur Title: אתה קדוש, אתה חונן (צרכי עמך מרובים, דעת ויין)  Presenter(s): ['HaRav Nochum Meir Lansky']	['HaRav Nochum Meir Lansky']
['https://torahcdn.net/tdn/nirc/18072101.mp3']	"Shiur Title: יבמות לה ע''ב גלוי מילתא למפרע  Presenter(s): [""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"	"[""Moreinu V'Rabeinu HaRav Shmuel Yaakov Weinberg""]"
['https://torahcdn.net/tdn/nirc/18083447.mp3']	"Shiur Title: שמואל א' (כ""ט) פרק ט' פסוקים א' - ב'  Presenter(s): ['HaRav Nochum Meir Lansky']"	['HaRav Nochum Meir Lansky']
['https://torahcdn.net/tdn/nirc/18078557.mp3']	Shiur Title: גיטין ב ע''א עדות על השליחות  Presenter(s): ['Moreinu HaRav Aharon Feldman']	['Moreinu HaRav Aharon Feldman']
